,Unnamed: 0,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,Founded,Trailing PE,Peg Ratio,Trailing EPS,Current Ratio,Quick Ratio,Dividend Yield
0,1,ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1888,31.473944,1.93,4.03,1.826,1.251,0.014199999
1,2,ABBV,AbbVie,Health Care,Pharmaceuticals,"North Chicago, Illinois",2012-12-31,2013 (1888),27.702572,2.06,4.196,1.015,0.755,0.048499998
2,3,ABMD,Abiomed,Health Care,Health Care Equipment,"Danvers, Massachusetts",2018-05-31,1981,104.387474,8.45,3.257,7.643,6.491,
3,11,A,Agilent Technologies,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1999,51.215714,3.54,3.208,2.107,1.479,0.0050999997
4,17,ALGN,Align Technology,Health Care,Health Care Supplies,"San Jose, California",2017-06-19,1997,73.646255,1.42,9.278,1.371,1.169,
5,34,ABC,AmerisourceBergen,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",2001-08-30,1985,16.308525,1.01,7.39,0.938,0.506,0.0153
6,36,AMGN,Amgen,Health Care,Biotechnology,"Thousand Oaks, California",1992-01-02,1980,21.24317,2.11,9.701,1.643,1.192,0.0342
7,40,ANTM,Anthem,Health Care,Managed Health Care,"Indianapolis, Indiana",2002-07-25,2014 (1946),18.679592,1.23,22.228,1.476,1.327,0.0109
8,62,BAX,Baxter International,Health Care,Health Care Equipment,"Deerfield, Illinois",1972-09-30,1931,33.35859,1.98,2.376,2.373,1.58,0.014099999
9,63,BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972-09-30,1897,36.29343,2.21,6.85,1.334,0.723,0.0139999995
10,66,BIO,Bio-Rad Laboratories,Health Care,Life Sciences Tools & Services,"Hercules, California",2020-06-22,1952,3.522515,2.72,220.476,3.795,2.703,
11,67,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",2021-08-30,1976,115.63293,4.23,4.337,4.058,2.855,0.0026
12,68,BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",2003-11-13,1978,13.311389,-2.25,19.291,2.146,1.542,
13,75,BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",1995-02-24,1979,292.2695,1.31,0.141,1.659,1.068,
14,76,BMY,Bristol Myers Squibb,Health Care,Health Care Distributors,"New York City, New York",1957-03-04,1989,7.38,1.2,7.38,1.536,1.213,0.032
15,86,CAH,Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio",1997-05-27,1971,12.629289,1.41,3.906,1.124,0.453,0.0404
16,90,CTLT,Catalent,Health Care,Pharmaceuticals,"Somerset, New Jersey",2020-09-21,2007,43.355907,2.41,2.953,2.44,1.806,
17,96,CNC,Centene,Health Care,Managed Health Care,"St. Louis, Missouri",2016-03-30,1984,18.000957,1.13,4.187,1.12,1.056,
18,99,CERN,Cerner,Health Care,Health Care Technology,"North Kansas City, Missouri",2010-04-30,1979,28.169985,1.98,2.612,1.647,1.375,0.0123000005
19,101,CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",2021-05-14,1947,52.62222,2.63,7.364,1.364,0.934,
20,108,CI,Cigna,Health Care,Managed Health Care,"Bloomfield, Connecticut",1976-06-30,1982,9.401728,0.78,23.267,0.7,0.58,0.0183
