,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,Founded,Trailing PE,Peg Ratio,Trailing EPS,Current Ratio,Quick Ratio,Dividend Yield
4,ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,1989,40.39214,3.31,9.155,1.252,1.14,0.0105
6,ADBE,Adobe,Information Technology,Application Software,"San Jose, California",1997-05-05,1982,56.908897,2.94,12.096,1.392,1.245,
7,AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",,1969,47.93646,1.67,3.242,2.241,1.638,
13,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,1998,30.480639,1.61,3.641,3.776,3.524,
37,APH,Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut",2008-09-30,1932,35.773106,2.43,2.38,2.399,1.216,0.0094
38,ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,1965,41.31291,1.7,4.57,1.106,0.825,0.0146
39,ANSS,Ansys,Information Technology,Application Software,"Canonsburg, Pennsylvania",2017-06-19,1969,75.69011,4.83,5.318,2.926,2.842,
44,AAPL,Apple,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,1977,28.618538,1.78,5.61,1.075,0.91,0.0055
45,AMAT,Applied Materials,Information Technology,Semiconductor Equipment,"Santa Clara, California",1995-03-16,1967,23.442186,0.74,6.4,2.539,1.641,0.0064
48,ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",2018-08-28,2004,52.358913,2.61,2.463,5.064,4.233,
53,ADSK,Autodesk,Information Technology,Application Software,"San Rafael, California",1989-12-01,1982,54.49814,2.45,5.918,0.501,0.415,
54,ADP,Automatic Data Processing,Information Technology,Data Processing & Outsourced Services,"Roseland, New Jersey",1981-03-31,1949,37.643986,2.49,6.32,1.048,0.09,0.0175
77,AVGO,Broadcom,Information Technology,Semiconductors,"San Jose, California",2014-05-08,1961,42.152386,1.37,13.492,2.405,2.052,0.0253
78,BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",2018-06-18,1962,37.40709,2.32,4.655,1.253,1.083,0.0147
82,CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",2017-09-18,1988,75.854836,3.1,2.48,1.701,1.487,
94,CDW,CDW,Information Technology,Technology Distributors,"Lincolnshire, Illinois",2019-09-23,1984,27.551994,1.84,7.116,1.381,1.096,0.010199999
98,CDAY,Ceridian,Information Technology,Application Software,"Minneapolis, Minnesota",2021-09-20,1992,255.2889,33.25,-0.561,1.074,0.089,
111,CSCO,Cisco Systems,Information Technology,Communications Equipment,"San Jose, California",1993-12-01,1984,19.795538,2.4,2.69,1.618,1.408,0.0278
114,CTXS,Citrix Systems,Information Technology,Application Software,"Fort Lauderdale, Florida",1999-12-01,1989,33.796665,2.63,2.518,0.664,0.512,0.0175
119,CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",2006-11-17,1994,23.12835,1.43,3.545,2.108,1.89,0.0117999995
129,GLW,Corning,Information Technology,Electronic Components,"Corning, New York",,1851,37.500004,0.81,1.004,1.771,0.997,0.0255
162,DXC,DXC Technology,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",2017-04-04,2017,7.2953486,0.31,1.52,1.083,0.956,
