,Unnamed: 0,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,Founded,Trailing PE,Peg Ratio,Trailing EPS,Current Ratio,Quick Ratio,Dividend Yield
0,16,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",2017-03-20,1994,35.970722,527.9,6.514,1.988,1.654,0.0219
1,31,AMT,American Tower,Real Estate,Specialized REITs,"Boston, Massachusetts",2007-11-19,1995,47.390594,2.57,5.507,0.773,0.668,0.0201
2,56,AVB,AvalonBay Communities,Real Estate,Residential REITs,"Arlington, Virginia[3]",2007-01-10,1978,33.449894,17.56,7.235,1.045,0.483,0.026300002
3,74,BXP,Boston Properties,Real Estate,Office REITs,"Boston, Massachusetts",2006-04-03,1970,57.211353,6.76,2.044,4.317,3.851,0.0335
4,93,CBRE,CBRE,Real Estate,Real Estate Services,"Dallas, Texas",2006-11-10,1906,23.237762,1.71,4.29,1.355,1.039,
5,133,CCI,Crown Castle,Real Estate,Specialized REITs,"Houston, Texas",2012-03-14,1994,63.998608,3.94,2.871,0.67,0.491,0.032
6,147,DLR,Digital Realty Trust,Real Estate,Specialized REITs,"Austin, Texas",2016-05-18,2004,69.83551,2.56,2.371,0.766,0.76,0.027999999
7,160,DRE,Duke Realty Corp,Real Estate,Industrial REITs,"Indianapolis, Indiana",2017-07-26,1972,24.092773,6.67,2.436,2.701,0.951,0.0191
8,175,EQIX,Equinix,Real Estate,Specialized REITs,"Redwood City, California",2015-03-20,1998,166.25133,3.87,4.743,1.628,1.219,0.0146
9,176,EQR,Equity Residential,Real Estate,Residential REITs,"Chicago, Illinois",2001-12-03,1969,30.478216,6.71,2.823,0.529,0.144,0.027999999
10,177,ESS,Essex Property Trust,Real Estate,Residential REITs,"San Mateo, California",2014-04-02,1971,50.5706,7.26,6.87,0.782,0.2,0.0241
11,186,EXR,Extra Space Storage,Real Estate,Specialized REITs,"Salt Lake City, Utah",2016-01-19,1977,37.548294,6.4,5.384,1.7,0.419,0.0247
12,190,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland",2016-02-01,1962,42.75199,9.14,3.016,1.29,0.751,0.0332
13,226,PEAK,Healthpeak Properties,Real Estate,Health Care REITs,"Long Beach, California",2008-03-31,1985,,26.92,,0.925,0.172,0.0353
14,236,HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",2007-03-20,1993,96.16666,-1.35,-1.257,26.789,26.763,
15,260,IRM,Iron Mountain,Real Estate,Specialized REITs,"Boston, Massachusetts",2009-01-06,1951,39.873844,5.14,1.189,0.695,0.573,0.0525
16,274,KIM,Kimco Realty,Real Estate,Retail REITs,"New Hyde Park, New York",2006-04-04,1958,10.19475,6.49,2.362,80.168,80.168,0.0313
17,319,MAA,Mid-America Apartments,Real Estate,Residential REITs,"Memphis, Tennessee",2016-12-02,1977,89.25634,8.25,2.286,0.092,0.037,0.0214
18,383,PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California",2003-07-17,1983,82.96419,-10.08,1.815,0.983,0.444,0.0189
19,387,PSA,Public Storage,Real Estate,Specialized REITs,"Glendale, California",2005-08-19,1972,50.05962,2.37,6.709,2.075,2.02,0.0247
20,397,O,Realty Income Corporation,Real Estate,Retail REITs,"San Diego, California",2015-04-07,1969,73.540375,8.95,0.966,0.937,0.801,0.0421
21,398,REG,Regency Centers,Real Estate,Retail REITs,"Jacksonville, Florida",2017-03-02,1963,85.245155,4.16,0.877,1.281,1.198,0.0343
22,411,SBAC,SBA Communications,Real Estate,Specialized REITs,"Boca Raton, Florida",2017-09-01,1989,279.54654,0.66,1.235,0.77,0.628,0.0064999997
23,418,SPG,Simon Property Group,Real Estate,Retail REITs,"Indianapolis, Indiana",2002-06-26,2003,47.658978,2.82,3.554,0.394,0.368,0.04
24,455,UDR,UDR,Real Estate,Residential REITs,"Highlands Ranch, Colorado",2016-03-07,1972,289.23468,-12.47,0.196,0.089,0.004,0.0255
25,467,VTR,Ventas,Real Estate,Health Care REITs,"Chicago, Illinois",2009-03-04,1998,888.1667,-52.0,-0.244,0.543,0.371,0.0325
26,476,VNO,Vornado Realty Trust,Real Estate,Office REITs,"New York City, New York",,1982,92.448975,6.1,-1.839,7.062,6.403,0.045500003
27,487,WELL,Welltower,Real Estate,Health Care REITs,"Toledo, Ohio",2009-01-30,1970,49.172375,11.07,1.752,1.694,1.067,0.028499998
28,492,WY,Weyerhaeuser,Real Estate,Specialized REITs,"Seattle, Washington",,1900,21.350592,2.12,1.777,2.848,2.11,0.0197
